Inventory MHE,Inventory container,Inventory index,Inventory max index,Item code,Item code owner,item_lot_number,item_expiration_date,Item sort key,Inventory quantity,Inventory damaged quantity,Inventory expired quantity,status
RR ASRS 001,ASRSX005566,8,8,4977114112911,1,,,,10,0,0,Initial
RR ASRS 001,ASRSX006570,4,8,4902506307460,3,,,,27,0,0,Initial
RR ASRS 001,ASRSX009951,2,8,4901480382395,3,,,,40,0,0,Initial
RR ASRS 001,ASRSX009293,6,8,4990212210464,1,,,,6,0,0,Initial
RR ASRS 001,ASRSX012015,7,8,4901480382296,3,,,,20,0,0,Initial
RR ASRS 001,ASRSX009451,8,8,4902778130285,3,,,,11,0,0,Initial
RR ASRS 001,ASRSX004320,8,8,4902850451994,1,,,,10,0,0,Initial
RR ASRS 001,ASRSX007431,6,8,4901681104482,1,,,,5,0,0,Initial
RR ASRS 001,ASRSX006587,5,8,4902506305503,3,,,,59,0,0,Initial
RR ASRS 001,ASRSX009812,4,8,4522163038349,3,,,,122,0,0,Initial
RR ASRS 001,ASRSX009501,8,8,4902778975473,1,,,,28,0,0,Initial
RR ASRS 001,ASRSX011789,8,8,4901991652284,3,,,,76,0,0,Initial
RR ASRS 001,ASRSX010488,3,8,4971910242469,3,,,,65,0,0,Initial
RR ASRS 001,ASRSX005265,1,2,4901480140315,1,,,,4,0,0,Initial
RR ASRS 001,ASRSX005766,8,8,4970051039679,3,,,,64,0,0,Initial
RR ASRS 001,ASRSX009084,7,8,4989364616170,1,,,,7,0,0,Initial
RR ASRS 001,ASRSX005497,4,4,4989225242029,3,,,,25,0,0,Initial
RR ASRS 001,ASRSX009886,6,8,4955414926957,1,,,,1,0,0,Initial
RR ASRS 001,ASRSX004327,4,8,4547452476053,1,,,,5,0,0,Initial
RR ASRS 001,ASRSX005507,2,4,4987167066536,3,,,,19,0,0,Initial
RR ASRS 001,ASRSX010480,4,8,4974052550126,3,,,,11,0,0,Initial
RR ASRS 001,ASRSX009776,2,8,4990212005473,1,,,,14,0,0,Initial
RR ASRS 001,ASRSX003824,1,8,4902562245683,1,,,,7,0,0,Initial
RR ASRS 001,ASRSX005775,1,8,4511338006856,3,,,,2,0,0,Initial
